"topic","topic2","Topic","party","sign","N","P","measure","threshold","label_Y_position","Label"
"general","vote","Vote Choice, General Election","Independent",-1,112,0.358974358974359,"     Change",-0.09,0.17948717948718,"Less
likely"
"general","vote","Vote Choice, General Election","Independent",0,140,0.448717948717949,"     Change",-0.09,0.583333333333333,"No
change"
"general","vote","Vote Choice, General Election","Independent",1,60,0.192307692307692,"     Change",-0.09,0.903846153846154,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",-1,131,0.145232815964523,"     Change",-0.09,0.0726164079822616,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",0,380,0.421286031042129,"     Change",-0.09,0.355875831485588,"No
change"
"primary","vote","Vote Choice, Republican Primary","Republican",1,391,0.433481152993348,"     Change",-0.09,0.783259423503326,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Democrat",-1,22,0.55,"     Change",-0.09,0.275,NA
"primary","vote","Vote Choice, Republican Primary","Democrat",0,12,0.3,"     Change",-0.09,0.7,"No
change"
"primary","vote","Vote Choice, Republican Primary","Democrat",1,6,0.15,"     Change",-0.09,0.925,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Independent",-1,18,0.321428571428571,"     Change",-0.09,0.160714285714286,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Independent",0,26,0.464285714285714,"     Change",-0.09,0.553571428571429,"No
change"
"primary","vote","Vote Choice, Republican Primary","Independent",1,12,0.214285714285714,"     Change",-0.09,0.892857142857143,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Republican",-1,430,0.424901185770751,"Change",-0.1,0.212450592885375,"Less
likely"
"docs","docs","Belief Trump Mishandled Docs","Republican",0,436,0.430830039525692,"Change",-0.1,0.640316205533597,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Republican",1,146,0.144268774703557,"Change",-0.1,0.927865612648221,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Democrat",-1,52,0.0528455284552846,"Change",-0.1,0.0264227642276423,NA
"docs","docs","Belief Trump Mishandled Docs","Democrat",0,154,0.15650406504065,"Change",-0.1,0.13109756097561,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Democrat",1,778,0.790650406504065,"Change",-0.1,0.604674796747968,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Independent",-1,61,0.163978494623656,"Change",-0.1,0.081989247311828,"Less
likely"
"docs","docs","Belief Trump Mishandled Docs","Independent",0,155,0.416666666666667,"Change",-0.1,0.372311827956989,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Independent",1,156,0.419354838709677,"Change",-0.1,0.790322580645161,"More
likely"
"general","vote","Vote Choice, General Election","Republican",-1,21,0.185840707964602,"     Change",-0.1,0.0929203539823009,"Less
likely"
"general","vote","Vote Choice, General Election","Republican",0,52,0.460176991150442,"     Change",-0.1,0.415929203539823,"No
change"
"general","vote","Vote Choice, General Election","Republican",1,40,0.353982300884956,"     Change",-0.1,0.823008849557522,"More
likely"
"general","vote","Vote Choice, General Election","Democrat",-1,609,0.643763213530655,"     Change",-0.1,0.321881606765328,NA
"general","vote","Vote Choice, General Election","Democrat",0,283,0.299154334038055,"     Change",-0.1,0.793340380549683,"No
change"
"general","vote","Vote Choice, General Election","Democrat",1,54,0.0570824524312896,"     Change",-0.1,0.971458773784355,"More
likely"
"general","vote","Vote Choice, General Election","Independent",-1,112,0.358974358974359,"     Change",-0.1,0.17948717948718,"Less
likely"
"general","vote","Vote Choice, General Election","Independent",0,140,0.448717948717949,"     Change",-0.1,0.583333333333333,"No
change"
"general","vote","Vote Choice, General Election","Independent",1,60,0.192307692307692,"     Change",-0.1,0.903846153846154,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",-1,131,0.145232815964523,"     Change",-0.1,0.0726164079822616,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",0,380,0.421286031042129,"     Change",-0.1,0.355875831485588,"No
change"
"primary","vote","Vote Choice, Republican Primary","Republican",1,391,0.433481152993348,"     Change",-0.1,0.783259423503326,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Democrat",-1,22,0.55,"     Change",-0.1,0.275,NA
"primary","vote","Vote Choice, Republican Primary","Democrat",0,12,0.3,"     Change",-0.1,0.7,"No
change"
"primary","vote","Vote Choice, Republican Primary","Democrat",1,6,0.15,"     Change",-0.1,0.925,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Independent",-1,18,0.321428571428571,"     Change",-0.1,0.160714285714286,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Independent",0,26,0.464285714285714,"     Change",-0.1,0.553571428571429,"No
change"
"primary","vote","Vote Choice, Republican Primary","Independent",1,12,0.214285714285714,"     Change",-0.1,0.892857142857143,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Republican",-1,430,0.424901185770751,"Change",-0.11,0.212450592885375,"Less
likely"
"docs","docs","Belief Trump Mishandled Docs","Republican",0,436,0.430830039525692,"Change",-0.11,0.640316205533597,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Republican",1,146,0.144268774703557,"Change",-0.11,0.927865612648221,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Democrat",-1,52,0.0528455284552846,"Change",-0.11,0.0264227642276423,NA
"docs","docs","Belief Trump Mishandled Docs","Democrat",0,154,0.15650406504065,"Change",-0.11,0.13109756097561,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Democrat",1,778,0.790650406504065,"Change",-0.11,0.604674796747968,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Independent",-1,61,0.163978494623656,"Change",-0.11,0.081989247311828,"Less
likely"
"docs","docs","Belief Trump Mishandled Docs","Independent",0,155,0.416666666666667,"Change",-0.11,0.372311827956989,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Independent",1,156,0.419354838709677,"Change",-0.11,0.790322580645161,"More
likely"
"general","vote","Vote Choice, General Election","Republican",-1,21,0.185840707964602,"     Change",-0.11,0.0929203539823009,"Less
likely"
"general","vote","Vote Choice, General Election","Republican",0,52,0.460176991150442,"     Change",-0.11,0.415929203539823,"No
change"
"general","vote","Vote Choice, General Election","Republican",1,40,0.353982300884956,"     Change",-0.11,0.823008849557522,"More
likely"
"general","vote","Vote Choice, General Election","Democrat",-1,609,0.643763213530655,"     Change",-0.11,0.321881606765328,NA
"general","vote","Vote Choice, General Election","Democrat",0,283,0.299154334038055,"     Change",-0.11,0.793340380549683,"No
change"
"general","vote","Vote Choice, General Election","Democrat",1,54,0.0570824524312896,"     Change",-0.11,0.971458773784355,"More
likely"
"general","vote","Vote Choice, General Election","Independent",-1,112,0.358974358974359,"     Change",-0.11,0.17948717948718,"Less
likely"
"general","vote","Vote Choice, General Election","Independent",0,140,0.448717948717949,"     Change",-0.11,0.583333333333333,"No
change"
"general","vote","Vote Choice, General Election","Independent",1,60,0.192307692307692,"     Change",-0.11,0.903846153846154,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",-1,131,0.145232815964523,"     Change",-0.11,0.0726164079822616,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",0,380,0.421286031042129,"     Change",-0.11,0.355875831485588,"No
change"
"primary","vote","Vote Choice, Republican Primary","Republican",1,391,0.433481152993348,"     Change",-0.11,0.783259423503326,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Democrat",-1,22,0.55,"     Change",-0.11,0.275,NA
"primary","vote","Vote Choice, Republican Primary","Democrat",0,12,0.3,"     Change",-0.11,0.7,"No
change"
"primary","vote","Vote Choice, Republican Primary","Democrat",1,6,0.15,"     Change",-0.11,0.925,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Independent",-1,18,0.321428571428571,"     Change",-0.11,0.160714285714286,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Independent",0,26,0.464285714285714,"     Change",-0.11,0.553571428571429,"No
change"
"primary","vote","Vote Choice, Republican Primary","Independent",1,12,0.214285714285714,"     Change",-0.11,0.892857142857143,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Republican",-1,430,0.424901185770751,"Change",-0.12,0.212450592885375,"Less
likely"
"docs","docs","Belief Trump Mishandled Docs","Republican",0,436,0.430830039525692,"Change",-0.12,0.640316205533597,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Republican",1,146,0.144268774703557,"Change",-0.12,0.927865612648221,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Democrat",-1,52,0.0528455284552846,"Change",-0.12,0.0264227642276423,NA
"docs","docs","Belief Trump Mishandled Docs","Democrat",0,154,0.15650406504065,"Change",-0.12,0.13109756097561,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Democrat",1,778,0.790650406504065,"Change",-0.12,0.604674796747968,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Independent",-1,61,0.163978494623656,"Change",-0.12,0.081989247311828,"Less
likely"
"docs","docs","Belief Trump Mishandled Docs","Independent",0,155,0.416666666666667,"Change",-0.12,0.372311827956989,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Independent",1,156,0.419354838709677,"Change",-0.12,0.790322580645161,"More
likely"
"general","vote","Vote Choice, General Election","Republican",-1,21,0.185840707964602,"     Change",-0.12,0.0929203539823009,"Less
likely"
"general","vote","Vote Choice, General Election","Republican",0,52,0.460176991150442,"     Change",-0.12,0.415929203539823,"No
change"
"general","vote","Vote Choice, General Election","Republican",1,40,0.353982300884956,"     Change",-0.12,0.823008849557522,"More
likely"
"general","vote","Vote Choice, General Election","Democrat",-1,609,0.643763213530655,"     Change",-0.12,0.321881606765328,NA
"general","vote","Vote Choice, General Election","Democrat",0,283,0.299154334038055,"     Change",-0.12,0.793340380549683,"No
change"
"general","vote","Vote Choice, General Election","Democrat",1,54,0.0570824524312896,"     Change",-0.12,0.971458773784355,"More
likely"
"general","vote","Vote Choice, General Election","Independent",-1,112,0.358974358974359,"     Change",-0.12,0.17948717948718,"Less
likely"
"general","vote","Vote Choice, General Election","Independent",0,140,0.448717948717949,"     Change",-0.12,0.583333333333333,"No
change"
"general","vote","Vote Choice, General Election","Independent",1,60,0.192307692307692,"     Change",-0.12,0.903846153846154,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",-1,131,0.145232815964523,"     Change",-0.12,0.0726164079822616,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",0,380,0.421286031042129,"     Change",-0.12,0.355875831485588,"No
change"
"primary","vote","Vote Choice, Republican Primary","Republican",1,391,0.433481152993348,"     Change",-0.12,0.783259423503326,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Democrat",-1,22,0.55,"     Change",-0.12,0.275,NA
"primary","vote","Vote Choice, Republican Primary","Democrat",0,12,0.3,"     Change",-0.12,0.7,"No
change"
"primary","vote","Vote Choice, Republican Primary","Democrat",1,6,0.15,"     Change",-0.12,0.925,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Independent",-1,18,0.321428571428571,"     Change",-0.12,0.160714285714286,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Independent",0,26,0.464285714285714,"     Change",-0.12,0.553571428571429,"No
change"
"primary","vote","Vote Choice, Republican Primary","Independent",1,12,0.214285714285714,"     Change",-0.12,0.892857142857143,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Republican",-1,430,0.424901185770751,"Change",-0.13,0.212450592885375,"Less
likely"
"docs","docs","Belief Trump Mishandled Docs","Republican",0,436,0.430830039525692,"Change",-0.13,0.640316205533597,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Republican",1,146,0.144268774703557,"Change",-0.13,0.927865612648221,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Democrat",-1,52,0.0528455284552846,"Change",-0.13,0.0264227642276423,NA
"docs","docs","Belief Trump Mishandled Docs","Democrat",0,154,0.15650406504065,"Change",-0.13,0.13109756097561,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Democrat",1,778,0.790650406504065,"Change",-0.13,0.604674796747968,"More
likely"
"docs","docs","Belief Trump Mishandled Docs","Independent",-1,61,0.163978494623656,"Change",-0.13,0.081989247311828,"Less
likely"
"docs","docs","Belief Trump Mishandled Docs","Independent",0,155,0.416666666666667,"Change",-0.13,0.372311827956989,"No
change"
"docs","docs","Belief Trump Mishandled Docs","Independent",1,156,0.419354838709677,"Change",-0.13,0.790322580645161,"More
likely"
"general","vote","Vote Choice, General Election","Republican",-1,21,0.185840707964602,"     Change",-0.13,0.0929203539823009,"Less
likely"
"general","vote","Vote Choice, General Election","Republican",0,52,0.460176991150442,"     Change",-0.13,0.415929203539823,"No
change"
"general","vote","Vote Choice, General Election","Republican",1,40,0.353982300884956,"     Change",-0.13,0.823008849557522,"More
likely"
"general","vote","Vote Choice, General Election","Democrat",-1,609,0.643763213530655,"     Change",-0.13,0.321881606765328,NA
"general","vote","Vote Choice, General Election","Democrat",0,283,0.299154334038055,"     Change",-0.13,0.793340380549683,"No
change"
"general","vote","Vote Choice, General Election","Democrat",1,54,0.0570824524312896,"     Change",-0.13,0.971458773784355,"More
likely"
"general","vote","Vote Choice, General Election","Independent",-1,112,0.358974358974359,"     Change",-0.13,0.17948717948718,"Less
likely"
"general","vote","Vote Choice, General Election","Independent",0,140,0.448717948717949,"     Change",-0.13,0.583333333333333,"No
change"
"general","vote","Vote Choice, General Election","Independent",1,60,0.192307692307692,"     Change",-0.13,0.903846153846154,"More
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",-1,131,0.145232815964523,"     Change",-0.13,0.0726164079822616,"Less
likely"
"primary","vote","Vote Choice, Republican Primary","Republican",0,380,0.421286031042129,"     Change",-0.13,0.355875831485588,"No
change"
"primary","vote","Vote Choice, Republican Primary","Republican",1,391,0.433481152993348,"     Change",-0.13,0.783259423503326,"More
likely"
